Geneid	C2_1Aligned.sortedByCoord.out.markDups	C1_1Aligned.sortedByCoord.out.markDups	K2_1Aligned.sortedByCoord.out.markDups	K1_1Aligned.sortedByCoord.out.markDups	C3_1Aligned.sortedByCoord.out.markDups	K3_1Aligned.sortedByCoord.out.markDups
A1BG	47	47	76	47	39	82
A1CF	0	0	0	0	0	2
A2M	358	386	989	649	595	1452
A2ML1	0	0	0	0	0	0
A3GALT2	5	0	0	0	0	3
A4GALT	0	0	0	0	0	0
A4GNT	1	0	0	3	0	0
AAAS	919	985	905	1320	857	1480
AACS	326	318	332	362	357	524
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	0	0	0	0	0	0
AAED1	508	482	477	637	679	776
AAGAB	681	774	694	905	764	1148
AAK1	1141	912	862	1048	1268	1631
AAMDC	67	65	35	72	57	106
AAMP	1742	1804	1716	2106	1947	2752
AANAT	0	0	1	1	0	4
AAR2	668	717	662	806	785	1167
AARD	0	0	0	0	0	0
AARS	4675	5221	4537	6586	5038	8335
AARS2	1659	1469	1545	1803	1705	2655
AARSD1	83	52	60	62	92	117
AASDH	218	258	235	299	269	470
AASDHPPT	902	1018	1088	1323	1096	1759
AASS	0	0	0	0	0	0
AATF	1487	1738	1578	1973	1814	2743
AATK	22	4	35	28	22	68
AATK-AS1	0	0	0	0	0	0
ABAT	238	194	169	205	253	303
ABC13-47488600E17.1	18	18	22	28	21	34
ABC7-42404400C24.1	0	0	0	0	0	0
ABCA1	184	151	167	227	302	466
ABCA10	3	3	3	5	5	12
ABCA12	0	0	0	0	1	0
ABCA13	0	0	0	0	0	0
ABCA2	7218	6458	5674	7381	7411	10879
ABCA3	11	2	8	3	11	10
ABCA4	0	0	0	0	0	0
ABCA5	7	2	15	8	9	16
ABCA6	142	85	110	98	174	266
ABCA7	2073	1557	1769	1702	2482	3250
ABCA8	8	4	3	2	1	1
ABCA9	101	68	53	52	109	131
ABCB1	0	0	0	0	0	0
ABCB10	1950	1982	2032	3134	1903	4306
ABCB11	6	4	0	1	7	8
ABCB4	0	0	1	1	2	0
ABCB5	0	0	0	0	0	0
ABCB6	3	7	3	0	9	18
ABCB7	770	844	800	1087	901	1357
ABCB8	919	873	862	1066	1014	1362
ABCB9	198	150	174	157	245	252
ABCC1	726	705	826	888	896	1523
ABCC10	947	663	908	1085	1072	1662
ABCC11	0	2	3	7	6	12
ABCC12	0	0	0	0	0	0
ABCC2	92	64	66	73	90	150
ABCC3	0	0	0	0	0	5
ABCC4	397	393	454	635	394	816
ABCC5	452	376	570	543	600	883
ABCC6	485	424	427	468	647	794
ABCC8	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0
ABCD1	300	300	296	343	368	584
ABCD2	2	6	1	8	15	6
ABCD3	700	810	743	1036	917	1359
ABCD4	553	446	399	588	584	763
ABCE1	3213	3590	3300	4760	3619	6311
ABCF1	2833	2841	2906	3418	3468	5250
ABCF2	1581	1663	1705	2193	1677	2889
ABCF3	1235	1132	1226	1522	1463	2340
ABCG1	0	0	0	0	0	0
ABCG2	0	0	0	0	0	0
ABCG4	0	3	1	3	2	2
ABCG5	0	0	0	3	3	0
ABCG8	0	0	0	0	0	0
ABHD1	2	1	4	2	5	5
ABHD10	431	462	483	607	441	684
ABHD11	356	341	370	420	366	466
ABHD12	1207	1107	1600	1656	1491	2519
ABHD12B	1	2	0	0	1	3
ABHD13	484	504	474	662	537	803
ABHD14A	49	52	44	59	77	74
ABHD14A-ACY1	0	2	1	0	0	0
ABHD14B	1260	1285	1250	1711	1424	2249
ABHD15	831	884	722	901	1024	1248
ABHD16A	34	27	24	41	44	35
ABHD16B	19	12	9	14	18	24
ABHD17A	4409	4000	3579	4268	4274	6325
ABHD17B	408	426	361	571	433	719
ABHD17C	274	272	281	358	330	428
ABHD18	500	427	413	573	588	869
ABHD2	628	609	705	878	697	1180
ABHD3	675	661	550	886	657	1018
ABHD4	233	203	231	272	274	390
ABHD5	73	109	98	138	84	150
ABHD6	28	33	51	57	55	115
ABHD8	19	28	19	9	33	43
ABI1	1232	1287	1153	1625	1372	2090
ABI2	507	530	371	503	514	756
ABI3	7	11	17	16	17	52
ABI3BP	0	0	2	0	0	3
ABL1	1711	1683	1442	1926	1890	2734
ABL2	338	377	463	517	434	748
ABLIM1	6	11	9	6	2	7
ABLIM2	0	0	0	1	0	0
ABLIM3	10	4	11	9	13	27
ABO	0	0	0	2	1	3
ABR	4778	4574	4657	5135	5657	7535
ABRA	0	0	0	0	0	0
ABRACL	1831	2050	1758	2388	2142	2988
ABT1	1048	1218	1092	1561	982	1830
ABTB1	279	176	257	261	288	482
ABTB2	51	31	50	39	44	72
AC002310.11	0	0	0	0	0	0
AC002310.13	0	0	0	0	0	0
AC002398.9	0	0	0	0	0	0
AC002429.5	0	0	0	0	0	0
AC002985.3	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0
AC003002.6	0	1	1	2	1	3
AC003005.4	0	0	0	0	0	0
AC003006.7	0	0	0	0	0	0
AC004076.7	4	1	2	6	4	3
AC004076.9	0	0	0	0	0	0
AC004381.6	777	739	633	856	729	1118
AC004556.1	1	3	1	10	10	4
AC004754.3	0	0	3	0	0	2
AC005281.1	0	4	2	3	1	4
AC005324.8	0	0	0	0	0	0
AC005779.2	0	2	0	0	1	0
AC005943.2	0	0	0	0	0	0
AC006116.20	0	0	0	0	0	0
AC006486.9	0	0	0	0	0	0
AC006538.4	0	0	0	0	0	0
AC006994.2	0	0	0	1	0	0
AC007040.11	4	3	8	6	5	10
AC007192.4	0	0	0	0	0	0
AC007325.1	0	0	0	0	0	0
AC007325.2	5	3	6	2	12	12
AC007325.4	29	32	20	22	20	26
AC007326.11	0	0	0	0	0	0
AC007326.13	0	0	0	0	0	0
AC009014.3	2	0	0	0	0	0
AC009133.22	0	0	0	0	0	0
AC009133.23	0	0	0	0	0	0
AC009336.19	0	0	0	0	0	0
AC009477.8	0	0	0	0	0	0
AC010547.9	0	0	0	0	0	0
AC010642.1	4	6	4	3	3	7
AC010646.3	0	0	0	0	0	0
AC010731.4	0	0	0	0	0	0
AC011043.1	274	265	138	258	199	271
AC011043.2	0	0	0	0	0	0
AC011513.3	0	0	0	0	0	0
AC011530.4	0	0	0	0	0	0
AC011841.1	0	2	0	0	3	0
AC013269.5	0	0	0	0	0	0
AC013271.7	0	0	0	0	0	0
AC015688.3	0	0	0	0	0	0
AC018755.18	0	0	0	0	0	0
AC023491.2	0	0	0	0	0	0
AC024592.12	0	0	0	0	0	0
AC025263.3	0	0	0	0	0	0
AC025335.1	119	137	73	126	122	170
AC037459.4	0	0	0	0	0	0
AC068533.7	0	0	0	0	0	0
AC069368.3	0	0	0	0	0	0
AC073610.5	0	0	0	0	0	0
AC084219.2	0	0	0	0	0	0
AC092835.2	0	1	2	0	0	0
AC104304.4	0	0	0	0	0	0
AC104532.2	0	0	0	0	0	0
AC104534.3	0	0	0	0	0	0
AC108938.5	0	0	0	0	0	0
AC113404.1	9	19	15	19	21	21
AC114783.1	0	0	0	0	0	0
AC116366.7	0	0	0	0	0	0
AC131097.4	0	0	0	0	0	0
AC133551.1	0	0	0	0	0	0
AC136352.1	0	0	0	0	0	0
AC136352.2	0	0	0	0	0	0
AC136612.1	0	0	0	0	0	0
AC136616.1	0	0	0	0	0	0
AC136616.2	0	0	0	0	0	0
AC136616.3	0	0	0	0	0	0
AC138517.6	0	0	0	0	0	2
AC138647.1	0	2	2	0	0	1
AC138969.4	599	458	562	685	595	1052
AC141272.1	0	0	0	0	0	0
AC142391.3	0	0	0	0	0	0
AC145212.1	0	0	0	0	0	0
AC145212.2	0	0	0	0	0	0
AC171558.1	0	0	0	0	0	0
AC171558.2	0	0	0	0	0	0
AC213203.1	0	0	0	0	0	0
AC233755.1	0	0	0	0	0	0
AC233755.2	0	0	0	0	0	0
AC240274.1	52	53	36	90	55	131
ACAA1	910	834	851	1045	896	1545
ACAA2	61	54	51	92	50	121
ACACA	877	950	780	1074	994	1464
ACACB	176	182	180	256	237	419
ACAD10	1076	940	884	1167	1177	1680
ACAD11	51	37	40	46	53	94
ACAD8	522	487	444	684	609	966
ACAD9	1435	1361	1347	1794	1559	2573
ACADL	0	0	0	0	0	0
ACADM	1298	1571	1385	1941	1413	2411
ACADS	860	734	723	886	825	1080
ACADSB	267	363	312	477	359	681
ACADVL	9055	8430	8015	10319	9037	14573
ACAN	0	0	0	0	0	0
ACAP1	391	307	207	348	427	621
ACAP2	1172	1408	1375	1905	1341	2625
ACAP3	3019	2215	2166	2540	3053	4244
ACAT1	1556	1786	1595	2284	1554	2949
ACAT2	1403	1516	1161	1700	1423	1988
ACBD3	801	922	946	1133	1035	1592
ACBD4	77	89	68	76	60	133
ACBD5	426	398	492	486	499	811
ACBD6	1472	1382	1238	1797	1660	2508
ACBD7	0	0	0	1	0	0
ACCS	385	274	234	395	344	560
ACCSL	0	0	0	0	0	0
ACD	537	501	425	636	471	796
ACE	51	70	46	55	87	86
ACE2	0	0	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	28	15	29	51	51	47
ACER3	392	330	400	466	513	766
ACHE	0	0	0	0	0	0
ACIN1	6517	5851	5601	6793	7836	10749
ACKR1	0	0	0	0	0	0
ACKR2	0	0	1	2	0	11
ACKR3	0	3	0	0	1	0
ACKR4	4	0	0	0	0	4
ACLY	3467	3885	3543	4550	4201	6154
ACMSD	0	0	2	0	0	0
ACO1	248	322	317	403	335	600
ACO2	2219	2389	2572	3007	2412	4350
ACOD1	0	0	0	0	0	0
ACOT1	43	50	52	70	37	83
ACOT11	171	138	146	185	193	269
ACOT12	0	1	0	0	0	2
ACOT13	755	787	679	943	726	1138
ACOT2	209	207	228	288	246	419
ACOT4	0	3	1	0	0	0
ACOT6	0	0	0	0	0	0
ACOT7	421	381	360	450	423	599
ACOT8	258	275	288	378	313	514
ACOT9	334	330	311	383	346	598
ACOX1	662	603	662	816	726	1216
ACOX2	14	6	2	17	7	10
ACOX3	699	741	703	925	844	1451
ACOXL	7	4	0	1	3	1
ACP1	1468	1664	1450	1947	1641	2491
ACP2	182	192	207	245	182	358
ACP5	424	284	873	634	540	1204
ACP6	0	0	0	0	0	0
ACP7	0	0	0	0	0	0
ACPP	310	345	365	517	364	653
ACPT	0	1	0	1	0	0
ACR	0	0	0	0	0	0
ACRBP	114	111	99	140	124	185
ACRV1	0	0	0	1	0	0
ACSBG1	11	8	13	12	11	40
ACSBG2	0	7	3	5	3	8
ACSF2	474	405	387	466	696	835
ACSF3	1144	1066	1122	1274	1223	1968
ACSL1	1107	1254	1106	1467	1415	2235
ACSL3	987	1322	800	1273	1116	1516
ACSL4	1135	1246	1144	1611	1414	2316
ACSL5	874	972	819	1323	809	1601
ACSL6	0	0	0	0	0	0
ACSM1	1	0	0	0	0	1
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	21	22	34	40	49	89
ACSM4	0	0	0	0	0	0
ACSM5	0	3	1	0	1	7
ACSM6	0	0	1	0	0	0
ACSS1	1044	1045	816	1193	1118	1718
ACSS2	617	528	458	675	703	1108
ACSS3	0	0	2	1	0	0
ACTA1	13	10	12	14	20	14
ACTA2	236	227	268	287	257	354
ACTB	119389	121157	117664	139191	154982	203722
ACTBL2	0	0	0	0	0	0
ACTC1	0	0	0	0	3	0
ACTG1	86940	91678	86805	102423	103953	155375
ACTG2	0	0	0	0	0	0
ACTL10	41	42	36	45	47	51
ACTL6A	1234	1428	1103	1538	1317	1946
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	1	0	3	6	2	0
ACTL8	0	0	1	0	0	0
ACTL9	0	0	0	0	0	0
ACTN1	1829	1895	1830	2269	1992	3313
ACTN2	0	0	0	0	0	1
ACTN3	0	0	0	1	0	0
ACTN4	11707	12491	11516	13280	13681	18175
ACTR10	551	606	593	717	652	956
ACTR1A	2553	2606	2393	2711	2935	3933
ACTR1B	1213	1217	1042	1592	1256	1913
ACTR2	11782	13387	12163	16243	14368	22149
ACTR3	5227	6152	5989	7638	6815	10469
ACTR3B	231	255	212	274	304	393
ACTR3C	0	0	0	0	0	0
ACTR5	361	323	338	530	358	749
ACTR6	464	517	372	612	509	788
ACTR8	592	650	547	772	674	1135
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	0	0	0	3	1	0
ACVR1	96	128	122	146	152	210
ACVR1B	235	160	212	242	201	371
ACVR1C	3	0	3	1	3	0
ACVR2A	41	38	36	52	63	64
ACVR2B	147	148	116	164	179	224
ACVRL1	59	70	48	61	66	76
ACY1	33	27	34	43	30	55
ACY3	666	621	294	405	691	482
ACYP1	65	75	50	78	55	135
ACYP2	83	83	103	114	85	178
AD000671.6	0	0	0	0	0	0
ADA	752	648	832	990	791	1489
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	152	139	153	191	146	285
ADAM10	1868	2031	1899	2472	2431	3610
ADAM11	60	54	41	67	80	137
ADAM12	3	1	2	4	7	2
ADAM15	1382	1332	1393	1675	1461	2741
ADAM17	666	670	687	797	894	1252
ADAM18	0	1	0	0	0	0
ADAM19	0	0	0	0	0	0
ADAM2	0	0	0	0	0	0
ADAM20	0	0	0	2	0	4
ADAM21	5	2	1	5	4	7
ADAM22	143	185	136	231	186	363
ADAM23	0	0	0	0	0	0
ADAM28	535	316	538	558	697	1016
ADAM29	0	2	1	3	0	0
ADAM30	0	0	0	0	0	0
ADAM32	2	1	2	0	0	3
ADAM33	0	1	1	0	1	0
ADAM7	2	0	0	0	0	0
ADAM8	698	566	546	592	699	769
ADAM9	529	510	648	852	587	1110
ADAMDEC1	325	221	604	463	532	939
ADAMTS1	1645	1455	1015	1782	1972	2497
ADAMTS10	456	375	258	358	480	584
ADAMTS12	1	0	6	1	2	4
ADAMTS13	25	19	15	27	30	45
ADAMTS14	19	9	7	8	37	18
ADAMTS15	0	0	0	0	0	0
ADAMTS16	0	0	0	1	0	0
ADAMTS17	20	15	35	34	30	49
ADAMTS18	1	0	2	0	2	0
ADAMTS19	0	0	0	0	0	0
ADAMTS2	207	185	306	271	291	453
ADAMTS20	0	0	0	0	0	0
ADAMTS3	0	0	0	1	0	0
ADAMTS4	40	37	24	36	65	44
ADAMTS5	105	46	80	71	95	140
ADAMTS6	9	9	16	10	21	23
ADAMTS7	0	0	0	2	0	3
ADAMTS8	1	0	0	0	0	1
ADAMTS9	196	199	167	245	158	309
ADAMTSL1	0	0	0	0	0	0
ADAMTSL2	0	2	0	0	0	0
ADAMTSL3	0	0	1	2	2	0
ADAMTSL4	3365	3023	2381	3494	3215	4868
ADAMTSL5	403	310	272	340	432	612
ADAP1	685	575	692	646	853	956
ADAP2	95	63	110	99	135	243
ADAR	4094	4137	4122	5137	4676	7661
ADARB1	1103	943	822	1114	1229	1625
ADARB2	0	0	0	0	0	0
ADAT1	358	342	352	503	406	596
ADAT2	2047	1624	1487	2324	2037	3825
ADAT3	240	192	176	152	257	271
ADCK1	367	280	383	389	359	543
ADCK2	193	175	182	183	211	265
ADCK5	786	644	598	924	808	1068
ADCY1	0	0	0	0	0	0
ADCY10	2	6	7	0	2	18
ADCY2	0	1	1	1	1	0
ADCY3	1232	1134	1300	1593	1435	2428
ADCY4	155	134	132	130	162	223
ADCY5	0	0	0	0	0	0
ADCY6	17	17	12	16	27	28
ADCY7	3557	3105	3165	3830	4158	6223
ADCY8	0	0	0	0	0	0
ADCY9	996	882	879	1045	1159	1732
ADCYAP1	0	0	0	0	0	0
ADCYAP1R1	10	2	6	6	13	9
ADD1	2519	2668	2341	2661	2931	3869
ADD2	0	0	0	0	0	0
ADD3	538	609	400	670	544	784
ADGB	0	0	4	1	0	3
ADGRA1	0	0	0	0	0	0
ADGRA2	6954	6024	6173	7421	8325	12302
ADGRA3	313	274	328	453	343	616
ADGRB1	176	190	95	111	208	211
ADGRB2	0	0	0	0	0	0
ADGRB3	0	0	0	1	2	0
ADGRD1	122	116	139	136	143	217
ADGRD2	0	0	0	0	1	2
ADGRE1	93	96	87	126	137	191
ADGRE2	2079	2068	1928	2659	2540	3472
ADGRE3	14	13	34	44	36	133
ADGRE5	1990	2237	1783	2145	2269	2691
ADGRF1	0	0	0	0	0	0
ADGRF2	0	0	1	0	0	0
ADGRF3	22	16	12	13	22	25
ADGRF4	0	0	0	0	0	0
ADGRF5	0	0	0	0	0	0
ADGRG1	2	2	3	1	0	2
ADGRG2	2	0	0	1	0	2
ADGRG3	18	29	14	42	19	29
ADGRG4	0	0	0	0	0	0
ADGRG5	528	440	296	430	458	426
ADGRG6	0	0	0	0	0	0
ADGRG7	0	0	0	0	0	0
ADGRL1	1522	1434	1076	1460	1683	2569
ADGRL2	0	0	0	0	0	0
ADGRL3	330	352	261	440	338	549
ADGRL4	0	0	0	0	0	0
ADGRV1	0	0	1	2	0	5
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0
ADH4	0	0	0	0	0	0
ADH5	1872	2066	1922	2542	2145	3284
ADH6	0	0	0	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	3	4	3	4	1	4
ADI1	2200	2182	2088	2660	2137	3482
ADIG	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOR1	1394	1437	1448	1833	1467	2564
ADIPOR2	2779	2980	2560	3386	3319	4442
ADIRF	10	6	5	16	10	29
ADK	2277	2213	2046	2672	2384	3788
ADM	342	247	209	193	428	237
ADM2	132	133	261	330	118	413
ADM5	213	150	96	105	172	221
ADNP	1363	1391	1133	1625	1548	2311
ADNP2	749	769	805	1057	796	1376
ADO	934	898	1031	1349	1002	1813
ADORA1	47	27	15	21	54	39
ADORA2A	4	2	3	2	6	13
ADORA2B	329	338	440	432	392	625
ADORA3	0	1	6	3	2	10
ADPGK	2805	2437	2560	3123	3142	4985
ADPRH	134	166	117	233	189	231
ADPRHL1	62	44	62	48	59	192
ADPRHL2	595	525	501	625	504	930
ADPRM	172	194	125	188	178	231
ADRA1A	0	0	0	0	0	0
ADRA1B	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0
ADRA2A	14	5	7	4	16	12
ADRA2B	4	1	2	0	6	2
ADRA2C	125	108	118	108	153	236
ADRB1	50	71	84	101	119	101
ADRB2	85	71	69	75	76	94
ADRB3	0	0	0	0	0	0
ADRM1	1890	2125	2129	2408	1965	3264
ADSL	73	97	92	115	134	176
ADSS	1938	2032	1942	2688	2199	3658
ADSSL1	70	60	81	91	107	114
ADTRP	3	5	15	8	10	14
AEBP1	0	1	5	0	0	0
AEBP2	647	619	628	857	681	1086
AEN	680	727	877	1058	766	1377
AES	5778	5606	5303	6327	6035	8798
AF011889.5	104	78	61	77	67	132
AF165138.7	0	0	0	0	0	0
AFAP1	0	0	0	0	0	0
AFAP1L1	0	0	0	0	0	0
AFAP1L2	0	0	0	0	0	0
AFDN	766	650	711	859	908	1347
AFF1	2187	2248	1754	2643	2387	3359
AFF2	1	0	1	5	0	1
AFF3	578	561	562	801	648	1050
AFF4	471	442	429	564	478	898
AFG3L2	1969	1942	2246	2658	2546	4145
AFM	0	0	0	0	0	0
AFMID	435	473	419	527	507	818
AFP	1	0	0	0	0	0
AFTPH	911	1074	935	1247	1211	1769
AGA	352	409	342	465	387	541
AGAP1	245	257	256	260	229	405
AGAP2	939	811	855	1010	1099	1537
AGAP3	1671	1475	1312	1710	1865	2720
AGAP4	645	395	406	473	653	722
AGAP5	638	382	457	466	639	843
AGAP6	2442	1646	1493	1927	2759	3499
AGAP9	1380	865	770	969	1361	1725
AGBL1	0	0	0	2	6	0
AGBL2	4	6	4	3	8	5
AGBL3	58	55	37	55	48	59
AGBL4	0	0	0	0	0	0
AGBL5	285	326	255	363	356	537
AGER	472	387	274	333	466	547
AGFG1	844	960	815	1217	932	1717
AGFG2	173	163	151	188	180	266
AGGF1	889	938	821	1194	936	1457
AGK	80	83	119	140	97	193
AGL	345	390	319	441	299	582
AGMAT	154	133	235	258	211	371
AGMO	0	0	0	0	0	2
AGO1	656	626	607	842	887	1287
AGO2	2021	2060	1800	2425	2391	3577
AGO3	474	366	462	522	508	799
AGO4	1419	1268	956	1411	1590	1951
AGPAT1	781	854	758	980	851	1267
AGPAT2	1193	1260	1113	1413	1296	1757
AGPAT3	1441	1544	1515	1962	1855	2803
AGPAT4	179	150	153	179	199	308
AGPAT5	1407	1606	1564	2229	1607	2931
AGPS	783	803	834	1099	881	1634
AGR2	0	0	0	0	0	0
AGR3	0	0	0	0	0	0
AGRN	4155	3476	3898	3732	4959	6039
AGRP	10	0	19	7	9	34
AGT	42	24	78	60	74	93
AGTPBP1	429	381	492	460	641	865
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	793	741	707	946	879	1094
AGXT	0	1	0	0	8	0
AGXT2	0	0	0	0	0	0
AHCTF1	1867	1997	2105	2689	2162	3773
AHCY	3235	3633	3572	4758	3870	6161
AHCYL1	1102	1119	1001	1509	1284	2141
AHCYL2	259	226	194	274	259	425
AHDC1	734	710	591	658	937	1056
AHI1	892	866	636	1004	939	1579
AHNAK	14458	14075	16985	16372	18973	27609
AHNAK2	36	33	48	30	71	68
AHR	111	145	112	159	144	201
AHRR	10835	7803	7086	7979	12302	13358
AHSA1	1414	1631	1523	2264	1527	2608
AHSA2	2627	2075	1657	2581	2354	3796
AHSG	0	0	0	0	0	0
AHSP	0	0	1	0	0	0
AICDA	0	0	0	0	0	0
AIDA	325	404	373	539	448	601
AIF1	3777	4300	2466	4194	3367	4232
AIF1L	0	0	0	0	1	8
AIFM1	1503	1625	1552	2006	1762	2666
AIFM2	175	172	98	147	181	225
AIFM3	102	110	103	127	141	193
AIG1	26	32	38	40	25	54
AIM1	1214	1209	1283	1692	1395	2394
AIM1L	0	0	2	2	2	0
AIM2	0	2	0	1	1	1
AIMP1	1732	1724	1401	2163	1658	2642
AIMP2	1494	1550	1610	2096	1725	2736
AIP	1271	1282	1192	1385	1337	1832
AIPL1	0	0	0	0	0	0
AIRE	31	22	25	29	16	48
AJAP1	0	0	0	0	0	0
AJUBA	101	96	105	159	102	196
AK1	74	75	90	92	93	161
AK2	8238	8801	8170	11038	8788	15514
AK3	371	371	333	494	433	709
AK4	44	45	56	75	71	135
AK5	18	19	7	20	17	22
AK6	338	415	337	500	356	611
AK7	1	0	0	3	1	0
AK8	1	3	2	2	0	2
AK9	87	72	59	91	67	154
AKAIN1	0	0	0	0	0	0
AKAP1	1491	1520	1452	1847	1606	2531
AKAP10	651	595	553	783	722	969
AKAP11	930	935	1014	1364	1133	2110
AKAP12	0	0	0	1	0	0
AKAP13	797	740	845	909	1024	1467
AKAP14	3	0	0	0	0	0
AKAP17A	3168	2795	2572	3095	3236	4839
AKAP2	0	0	0	2	0	4
AKAP3	0	0	1	0	0	0
AKAP4	0	0	0	0	0	0
AKAP5	33	14	20	8	14	33
AKAP6	1	4	3	0	2	9
AKAP7	344	398	337	486	387	665
AKAP8	3249	2700	2532	3114	3452	4723
AKAP8L	3221	2814	2416	3144	3219	4569
AKAP9	533	396	492	618	616	942
AKIP1	734	722	650	892	773	1114
AKIRIN1	1333	1395	1547	1973	1544	2740
AKIRIN2	1655	1569	2069	2067	1975	3236
AKNA	1773	1684	1655	1981	2001	2915
AKNAD1	0	0	0	0	0	0
AKR1A1	1762	1654	1541	2027	1956	2951
AKR1B1	243	240	277	354	259	429
AKR1B10	0	0	0	0	0	0
AKR1B15	0	0	0	0	0	0
AKR1C1	9	6	15	9	5	3
AKR1C2	3	8	17	17	7	10
AKR1C3	2	3	0	4	7	0
AKR1C4	0	0	0	0	0	0
AKR1D1	0	0	0	0	0	0
AKR1E2	0	1	1	0	0	0
AKR7A2	1099	1118	1077	1387	1160	1790
AKR7A3	283	260	251	338	289	391
AKR7L	101	39	42	74	88	98
AKT1	3109	2946	2811	3185	3437	5025
AKT1S1	966	852	840	983	1116	1659
AKT2	3380	3187	2992	3668	3656	5082
AKT3	921	1043	964	1345	946	1767
AKTIP	51	76	57	68	76	102
AL021546.6	0	0	0	0	0	0
AL354822.1	0	0	0	0	0	0
AL359736.1	0	0	0	0	0	0
AL513523.2	19	14	12	8	16	27
AL592183.1	124	176	141	187	155	312
AL928654.7	0	0	0	0	0	0
ALAD	1147	1210	957	1331	1379	2018
ALAS1	1983	1976	1764	2218	2206	3240
ALAS2	0	0	0	0	0	0
ALB	0	0	0	0	0	0
ALCAM	545	550	705	820	618	1045
ALDH16A1	2442	2069	2217	2462	2705	3509
ALDH18A1	1180	1371	1471	2017	1293	2757
ALDH1A1	0	0	0	0	0	0
ALDH1A2	2	3	4	4	5	7
ALDH1A3	178	150	99	91	195	179
ALDH1B1	694	737	840	910	809	1262
ALDH1L1	0	0	0	0	0	0
ALDH1L2	1274	1498	1438	2215	1291	2830
ALDH2	161	124	113	160	212	236
ALDH3A1	4	2	5	13	4	21
ALDH3A2	1123	1129	1094	1396	1195	1992
ALDH3B1	1195	996	1023	1056	1280	1693
ALDH3B2	0	0	0	0	0	0
ALDH4A1	337	227	346	328	342	606
ALDH5A1	758	788	813	1126	794	1488
ALDH6A1	45	51	45	88	39	80
ALDH7A1	0	0	0	0	1	0
ALDH8A1	3	5	5	3	5	5
ALDH9A1	1200	1207	1051	1449	1193	1941
ALDOA	24736	25407	23280	27776	27610	37826
ALDOB	0	0	0	0	0	0
ALDOC	330	266	184	274	285	319
ALG1	789	824	707	866	807	1178
ALG10	72	64	77	128	55	162
ALG10B	218	210	200	326	227	392
ALG11	145	95	92	127	116	219
ALG12	442	410	482	459	514	757
ALG13	960	760	733	1010	1054	1591
ALG14	133	138	144	203	144	162
ALG1L	0	0	2	2	1	2
ALG1L2	15	10	12	27	11	31
ALG2	451	438	515	644	635	925
ALG3	1300	1393	1381	1957	1321	2337
ALG5	895	991	744	1123	872	1351
ALG6	279	258	221	413	229	404
ALG8	770	900	684	1147	861	1365
ALG9	90	126	77	137	94	149
ALK	0	0	0	0	0	0
ALKAL1	1	2	1	1	3	2
ALKAL2	0	3	0	0	0	0
ALKBH1	323	307	242	316	295	472
ALKBH2	565	611	544	744	577	910
ALKBH3	351	352	302	445	398	593
ALKBH4	316	297	272	343	334	494
ALKBH5	1544	1542	1420	1753	1944	2429
ALKBH6	811	737	577	720	693	1107
ALKBH7	817	889	963	1156	865	1414
ALKBH8	231	267	243	329	222	453
ALLC	0	0	1	0	0	1
ALMS1	239	283	244	329	283	479
ALOX12	7	4	6	7	9	22
ALOX12B	0	0	0	0	0	0
ALOX15	8	9	5	9	5	14
ALOX15B	0	1	0	0	0	0
ALOX5	6	9	6	12	5	3
ALOX5AP	163	157	206	201	208	292
ALOXE3	0	0	0	0	0	0
ALPI	0	0	0	0	0	0
ALPK1	542	403	316	414	553	741
ALPK2	0	3	0	0	0	3
ALPK3	5	1	10	5	2	16
ALPL	0	0	0	0	0	0
ALPP	3	0	0	0	1	2
ALPPL2	0	0	0	1	0	0
ALS2	276	256	261	305	324	434
ALS2CL	0	0	0	2	0	0
ALS2CR11	0	1	0	0	0	0
ALS2CR12	2	3	1	0	2	11
ALX1	0	0	0	0	0	0
ALX3	2	2	2	4	3	0
ALX4	0	0	0	0	0	0
ALYREF	4206	4315	4175	4703	4754	6330
AMACR	5	9	5	15	13	14
AMBN	0	0	0	0	1	0
AMBP	0	3	0	0	2	0
AMBRA1	372	373	420	497	543	707
AMD1	2252	2352	2418	3315	2453	4228
AMDHD1	2	8	13	24	4	25
AMDHD2	590	451	548	595	614	1029
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMER1	92	142	123	201	103	226
AMER2	0	0	0	0	0	0
