Gene,MOLM13_sgNT_R1,MOLM13_sgNT_R2
AC016394.4,12.748,10.488
AC016396.1,0,0.205
AC016396.2,0,0
AC016397.1,0,0
AC016397.2,0,0
AC016405.1,0.143,0.199
AC016405.2,0,0
AC016405.3,0.424,0.157
AC016493.1,0,0
AC016526.1,0,0
AC016526.2,0.56,0
AC016526.3,0.037,0.069
AC016526.4,0,0
AC016542.1,0,0
AC016542.2,0.235,0.109
AC016542.3,0,0.435
AC016543.1,0,0
AC016546.1,0.629,0.291
AC016549.1,0,0
AC016550.1,0,0
AC016550.2,0,0
AC016550.3,0,0
AC016553.1,0,0
AC016556.1,0,0
AC016559.2,0,0
AC016559.3,0,0
AC016571.1,0,0
AC016573.1,0.172,0.159
AC016575.1,0,0
AC016575.2,0,0
AC016576.1,0,0
AC016582.1,0,0
AC016582.2,0.661,0.706
AC016582.3,0,0
AC016583.1,0,0
AC016583.2,0,0
AC016586.1,0.457,0.497
AC016587.1,0,0
AC016588.1,0,0.124
AC016588.2,0.892,0.691
AC016590.1,0,0
AC016590.2,0.777,0.18
AC016590.3,0,0.179
AC016590.4,0,0
AC016595.1,0,0
AC016596.1,0,0
AC016596.3,83.135,82.908
AC016597.1,0,0
AC016597.2,0,0
AC016597.3,0,0
AC016598.1,0,0
AC016598.2,0,0
AC016612.1,0,0
AC016629.1,0,0
AC016629.2,0,0.036
AC016629.3,0.471,0.337
AC016632.1,0,0
AC016642.1,0,0
AC016644.1,0,0
AC016670.1,0,0
AC016682.1,0,0
AC016683.1,0,0
AC016687.1,0,0.382
AC016687.2,0,0
AC016687.3,0,0
AC016694.1,0,0
AC016697.3,0,0
AC016700.1,0,0.432
AC016700.2,0.325,0.301
AC016705.1,0,0
AC016705.2,0,0
AC016705.3,0,0
AC016706.1,0,0
AC016710.2,0,0
AC016716.1,0,0
AC016717.1,0,0
AC016717.2,0,0.013
AC016717.3,0,0
AC016721.1,0,0
AC016722.1,0,0
AC016722.2,0,0
AC016724.1,0,0
AC016727.1,2.15,1.934
AC016727.2,0,0
AC016727.3,0,0
AC016730.1,0.088,0
AC016734.1,7.464,6.592
AC016734.2,0,0.049
AC016735.1,0,0.284
AC016737.1,0.136,0
AC016737.2,0,0
AC016738.1,0,0
AC016739.1,12.671,11.325
AC016743.1,0,0
AC016745.1,0.05,0
AC016745.2,0,0
AC016746.1,0,0
AC016747.1,0.023,0.022
AC016747.2,0,0
AC016747.3,0.092,0.17
AC016747.4,0,0.049
AC016751.1,0,0
AC016751.2,0,0
AC016764.1,0,0
AC016766.1,0,0
AC016769.1,0,0
AC016769.2,0,0
AC016769.3,0,0
AC016769.4,0,0
AC016769.5,0,0
AC016769.6,0,0
AC016772.1,0,0
AC016773.2,0.776,0.67
AC016813.2,0,0
AC016816.1,0,0
AC016820.1,0,0
AC016821.1,0,0
AC016822.1,0,0
AC016825.1,0,0
AC016831.1,0.099,0.132
AC016831.2,0,0
AC016831.3,0,0
AC016831.4,0.073,0.371
AC016831.5,0,0
AC016831.6,0.088,0.082
AC016866.1,0,0
AC016866.2,0,0
AC016866.3,0,0
AC016868.1,0,0.129
AC016876.2,5.069,5.272
AC016876.3,0,0.044
AC016876.4,0.513,0.633
AC016877.1,0.314,0
AC016877.2,0,0
AC016877.3,0.289,0.936
AC016885.1,0,0
AC016885.2,0,0
AC016885.3,0,0
AC016888.1,0,0.119
AC016894.1,0,0
AC016902.1,0,0
AC016903.1,0,0
AC016903.2,0,0
AC016907.1,0,0
AC016907.2,0,0.016
AC016908.1,0,0
AC016909.1,0,0
AC016910.2,0,0
AC016911.1,0,0
AC016912.1,0,0
AC016924.1,0,0
AC016925.1,0,0
AC016925.2,0,0
AC016925.3,0,0
AC016930.1,0,0
AC016931.1,0,0
AC016933.1,0,0
AC016949.1,0.877,1.383
AC016954.1,0,0
AC016956.1,0,0
AC016957.1,0.236,0
AC016957.2,2.664,2.939
AC016968.1,0,0
AC016970.1,0,0
AC016987.1,0,0
AC016987.2,0,0
AC016991.1,0,0
AC016993.1,0,0
AC016994.1,0,0
AC016995.1,0.061,0
AC016999.1,0.806,1.192
AC016999.2,0,0.121
AC017000.1,0,0
AC017002.1,0,0
AC017002.2,0,0
AC017002.3,0,0
AC017002.4,0.112,0
AC017006.1,0,0
AC017006.2,0,0
AC017007.2,0,0
AC017007.3,0,0.207
AC017007.4,0.335,0.465
AC017007.5,0,0
AC017007.6,0,0
AC017013.1,0,0.169
AC017015.1,0,0
AC017015.2,0,0
AC017019.1,0,0
AC017020.1,0,0
AC017028.1,0,0.054
AC017028.10,0,0
AC017028.2,0,0
AC017028.3,0,0
AC017028.4,0,0
AC017028.5,0,0
AC017028.6,0,0
AC017028.7,0,0.674
AC017028.8,0,0
AC017028.9,0,0
AC017033.1,0,0
AC017037.1,0,0
AC017037.2,0,0
AC017037.3,0,0
AC017037.4,0,0
AC017037.5,0,0
AC017048.1,0,0
AC017048.2,0,0
AC017048.3,0,0
AC017050.1,0.03,0.056
AC017053.1,0,0
AC017067.1,0,0
AC017071.1,0.099,0.092
AC017074.1,2.338,2.161
AC017074.2,0,0
AC017076.1,0.756,0.816
AC017083.1,0.273,0.315
AC017083.2,2.602,4.042
AC017083.3,0.151,0.14
AC017083.4,0,0
AC017084.1,0,0
AC017091.1,0,0
AC017099.1,0,0.066
AC017099.2,0,0
AC017100.1,0.062,0
AC017100.2,0,0
AC017101.1,0,0
AC017104.1,0.043,0.12
AC017104.2,0,0.42
AC017104.3,0,0
AC017104.4,0.183,0.169
AC017104.5,0.57,0.949
AC017104.6,2.423,1.738
AC017116.1,0,0
AC017116.2,0.432,0.574
AC018358.1,0,0
AC018359.1,0,0
AC018362.1,0.129,0.159
AC018362.2,0.103,0
AC018362.3,0,0
AC018371.1,0,0
AC018371.2,0,0.148
AC018398.1,0.044,0.062
AC018410.1,0,0
AC018413.1,2.129,2.054
AC018437.1,0,0
AC018437.2,0,0
AC018437.3,0,0
AC018442.1,0,0.065
AC018442.2,0,0
AC018442.3,0,0
AC018445.1,0,0
AC018445.2,0,0
AC018445.3,0.15,0.139
AC018445.4,0.032,0.029
AC018445.5,0,0
AC018445.6,0,0
AC018448.1,0,0
AC018448.2,0,0
AC018450.1,0.174,0.483
AC018450.2,0,0
AC018462.1,0,0
AC018462.2,0,0.171
AC018464.1,0,0
AC018467.1,0,0
AC018470.1,0.047,0
AC018475.1,0.47,1.449
AC018495.1,0,0
AC018506.1,0,0
AC018511.1,0,0
AC018511.2,0,0
AC018511.5,0,0
AC018512.1,0,0
AC018521.1,0,0
AC018521.2,0,0
AC018521.3,0,0
AC018521.4,0,0
AC018521.5,0.811,0.703
AC018521.6,0.435,0
AC018521.7,0,0
AC018523.1,0,0.132
AC018523.2,0.358,0.221
AC018529.1,0,0
AC018529.2,0.117,0.065
AC018529.3,0.097,0.389
AC018541.1,0,0
AC018545.1,0,0
AC018552.1,0,0
AC018552.2,0,0
AC018552.3,0,0
AC018553.1,9.145,10.673
AC018553.2,2.945,2.722
AC018553.3,0.069,0
AC018554.1,0,0
AC018557.1,0.041,0
AC018557.2,0,0
AC018557.3,0,0
AC018558.1,0,0
AC018558.2,0,0
AC018558.3,0,0
AC018558.4,0,0
AC018558.5,0,0
AC018558.6,0,0
AC018558.7,0,0
AC018563.2,0,0
AC018607.1,0.476,0.616
AC018616.1,0,0
AC018618.1,0,0
AC018618.2,0,0
AC018620.1,0.577,1.066
AC018628.1,0,0
AC018628.2,1.335,1.27
AC018628.3,0,0
AC018629.1,0,0
AC018630.1,0.256,0
AC018630.2,0.855,0.915
AC018634.1,0,0
AC018635.1,0,0
AC018635.2,0,0
AC018637.1,0,0
AC018638.1,0,0
AC018638.2,27.481,33.431
AC018638.3,0,0
AC018638.4,15.966,15.464
AC018638.5,24.158,23.139
AC018638.6,0.058,0.213
AC018638.7,0.392,0.363
AC018639.1,0,0
AC018641.1,0,0
AC018643.1,0,0
AC018644.1,1.058,0.734
AC018645.1,0,0
AC018645.3,22.383,24.547
AC018647.1,0,0
AC018647.2,4.042,3.721
AC018647.3,0,0
AC018648.1,0,0.101
AC018653.1,0,0
AC018653.2,0,0
AC018653.3,0,0.057
AC018653.4,0,0
AC018659.2,0,0
AC018659.8,0,0
AC018665.1,0,0
AC018678.1,0,0
AC018680.1,0,0
AC018682.1,0.096,0.089
AC018682.2,0,0
AC018685.1,0,0
AC018685.2,0,0
AC018685.3,0,0
AC018690.1,4.048,5.346
AC018692.2,0,0
AC018693.1,0,0
AC018693.2,0,0
AC018695.1,0.219,0
AC018695.2,0,0
AC018695.3,0,0
AC018695.4,0,0
AC018695.5,0,0
AC018695.6,0.273,0.252
AC018695.7,0.409,0.243
AC018695.8,0,0.052
AC018695.9,0,0.034
AC018696.1,0,0
AC018696.2,0,0
AC018696.3,0,0
AC018696.5,0,0
AC018696.6,0,0
AC018696.7,0,0
AC018697.1,0,0
AC018706.1,0,0.183
AC018709.1,0,0
AC018710.1,0,0
AC018712.1,0,0
AC018714.1,0,0
AC018714.2,0,0
AC018716.1,0,0
AC018716.2,0,0
AC018717.1,0,0
AC018730.1,0,0
AC018731.1,0,0
AC018735.1,0.049,0
AC018737.1,0,0
AC018737.2,0.048,0
AC018738.1,62.451,80.515
AC018742.1,0,0
AC018752.1,0,0
AC018754.1,0.345,0.223
AC018755.1,0.062,0
AC018755.2,0,0
AC018755.3,2.821,3.295
AC018755.4,1.765,1.781
AC018755.5,0.07,0
AC018761.1,0,0.694
AC018761.2,0.246,0.455
AC018761.3,0,0.174
AC018761.4,0,0
AC018765.1,0,0
AC018766.1,0.151,0.139
AC018767.1,0,0
AC018767.2,0,0
AC018767.3,0,0
AC018781.1,0.023,0.043
AC018797.1,0,0
AC018797.2,0.059,0.054
AC018797.3,0,0
AC018802.1,0,0
AC018802.2,0,0
AC018804.1,1.468,1.648
AC018809.1,0.264,0.122
AC018809.2,0.019,0.123
AC018809.3,0,0
AC018814.1,0,0
AC018816.1,0.408,0.162
AC018832.1,0,0
AC018845.1,0,0
AC018845.2,0,0
AC018845.3,0,0.261
AC018846.1,0,0
AC018861.1,0,0
AC018861.2,0,0
AC018865.1,0,0
AC018865.2,0,0
AC018866.2,0,0
AC018868.1,0.694,0.642
AC018868.2,0.174,0.161
AC018878.1,0,0
AC018880.1,0,0
AC018880.2,0,0
AC018889.1,0,0
AC018892.1,0,0
AC018892.2,0,0
AC018892.3,0,0
AC018904.1,0,0
AC018904.2,0,0
AC018926.1,0.167,0.155
AC018926.2,1.024,1.758
AC018926.3,0.538,0.166
AC018931.1,0,0
AC018943.1,0,0
AC018946.1,0,0
AC018946.2,0,0
AC018953.1,0,0
AC018953.2,0,0
AC018978.1,0,0
AC018992.1,0.034,0
AC019046.1,0,0
AC019051.1,0,0
AC019055.1,0,0
AC019064.1,0,0
AC019068.1,0,0
AC019069.1,8.253,9.248
AC019072.1,0,0
AC019077.1,0.734,1.357
AC019080.1,1.483,1.447
AC019080.3,0,0
AC019080.4,0,0
AC019080.5,3.08,3.47
AC019084.1,0,0
AC019103.1,0,0
AC019117.2,0,0
AC019117.3,0,0.034
AC019117.4,0,0
AC019118.1,0,0
AC019118.2,0,0.142
AC019127.1,0,0
AC019129.1,2.512,0.774
AC019129.2,0.059,0
AC019130.1,0,0
AC019131.1,0,0
AC019131.2,0.754,0.929
AC019131.3,0,0
AC019133.1,0,0
AC019155.1,0,0
AC019155.2,0,0
AC019159.1,0,0
AC019159.2,0,0
AC019163.1,3.464,2.871
AC019171.1,0.069,0
AC019176.2,0,0
AC019176.3,0.231,0
AC019181.1,7.756,10.213
AC019183.1,0,0
AC019185.1,0,0
AC019185.2,0,0
AC019186.1,0,0
AC019193.1,0,0
AC019193.2,0,0
AC019193.3,0,0
AC019193.4,0,0
AC019197.1,0,0
AC019198.1,0,0
AC019201.1,0,0
AC019205.1,1.938,1.753
AC019205.2,0,0
AC019206.1,0,0
AC019209.1,0,0
AC019209.2,0,0
AC019209.3,0,0
AC019211.1,0,0
AC019226.1,0.849,0.262
AC019226.2,0,0
AC019235.1,0,0
AC019254.1,0.382,0.265
AC019254.2,0,0
AC019257.1,0.031,0.028
AC019257.2,0,0.136
AC019257.8,0,0
AC019257.9,0,0
AC019270.1,0,0
AC019278.1,0,0
AC019288.1,0,0
AC019294.1,0,0
AC019294.2,0.023,0.011
AC019294.3,0,0
AC019322.1,0,0
AC019322.3,0,0
AC019322.4,7.93,8.249
AC019322.5,0,0
AC019322.6,0,0
AC019330.1,0,0.032
AC019330.2,0,0
AC019349.1,0,0
AC020549.2,0,0
AC020549.3,0,0
AC020550.1,0,0.827
AC020550.2,0,0
AC020551.1,0.135,0
AC020558.1,0.514,0.317
AC020558.2,0,0
AC020558.5,0,0
AC020558.6,0,0
AC020584.1,0,0
AC020593.1,0,0
AC020594.1,0.216,0.598
AC020595.1,0,0
AC020601.1,0,0
AC020604.1,0,0
AC020606.1,0,0
AC020611.1,0,0
AC020611.2,0,0
AC020612.1,0.673,0.996
AC020612.2,0,0
AC020612.3,0,0
AC020612.4,0,0
AC020626.1,0,0
AC020629.1,0.221,0.122
AC020633.1,0.292,0.39
AC020634.2,0,0
AC020636.1,0,0
AC020636.2,0,0
AC020637.1,0,0
AC020651.1,0,0
AC020651.2,0,0
AC020655.1,0,0
AC020656.1,1.825,2.024
AC020656.2,0.261,0.216
AC020658.1,0.233,0.144
AC020658.2,0.018,0.017
AC020658.3,0.054,0.117
AC020658.4,0.639,0.492
AC020658.5,4.945,4.42
AC020658.6,0,0
AC020658.7,0,0
AC020659.1,0,0
AC020659.2,0,0
AC020661.1,0.894,0.551
AC020661.2,0,0
AC020661.3,0,0
AC020661.4,0,0.109
AC020663.1,0,0
AC020663.2,0.506,0.655
AC020663.3,0.534,0.926
AC020663.5,0,0
AC020687.1,0,0
AC020688.1,0.584,0.378
AC020699.1,0,0
AC020703.1,0,0.111
AC020704.1,0,0
AC020718.1,0,0
AC020719.1,0,0
AC020728.1,0,0
AC020741.1,0,0
AC020743.1,0,0
AC020743.2,0.102,0.142
AC020743.3,0.405,1.497
AC020763.1,0,0.122
AC020763.2,0,0.107
AC020763.3,0,0
AC020763.4,0,0
AC020763.5,0,0
AC020765.1,0,0
AC020765.2,0.506,1.092
AC020765.3,0,0
AC020765.4,0,0
AC020765.5,0,0
AC020779.1,0,0
AC020779.2,0,0
AC020891.1,0,0
AC020891.2,0,0
AC020891.3,0,0
AC020891.4,0,0
AC020892.1,0,0
AC020892.2,0,0
AC020893.1,0,0
AC020893.2,0.202,0.28
AC020895.1,0,0
AC020895.2,0,0
AC020897.1,0,0
AC020899.1,0,0.448
AC020900.1,0,0
AC020900.2,0,0
AC020904.1,0,0
AC020904.2,4.908,5.817
AC020904.3,0,0
AC020905.1,0,0
AC020907.1,0,0
AC020907.2,0,0
AC020907.3,0,0
AC020907.4,0,0
AC020907.5,0.038,0.035
AC020907.6,0,0
AC020908.1,0,0
AC020908.2,0,0
AC020908.3,0,0
AC020909.1,0,0
AC020909.2,8.38,5.918
AC020909.3,0,0.18
AC020910.1,0,0
AC020910.2,0.353,0.489
AC020910.3,0,0
AC020910.4,0,0
AC020910.5,9.85,9.855
AC020910.6,2.422,2.131
AC020910.7,0,0
AC020911.1,0.126,0
AC020911.2,0,0.168
AC020911.4,0,0.204
AC020912.1,0,0
AC020913.1,0,0
AC020913.2,0.116,0
AC020913.3,0,0
AC020914.1,0,0
AC020914.2,0,0
AC020914.3,0,0
AC020914.4,0.221,0.205
AC020914.5,0,0
AC020915.1,0,0
AC020915.2,0,0
AC020915.3,0,0
AC020915.4,0,0
AC020915.5,0,0
AC020916.1,0.604,0.552
AC020916.2,0,0
AC020917.1,0.163,0.226
AC020917.2,0,0
AC020917.3,0,0.093
AC020917.4,0.51,0.438
AC020922.1,0,0
AC020922.2,0.812,1.126
AC020922.3,0,0.246
AC020922.4,0.215,0
AC020923.1,0,0.073
AC020928.1,0.172,0.381
AC020928.2,0,0.031
AC020930.1,0,0
AC020931.1,0.054,0
AC020934.1,0,0
AC020934.2,0,0
AC020937.1,0,0
AC020951.1,0.032,0
AC020978.1,0.34,0.472
AC020978.2,0,0
AC020978.3,0,0
AC020978.4,0,0
AC020978.5,0,0
AC020978.6,0.184,0.681
AC020978.7,0.265,0.312
AC020978.8,0,0
AC020978.9,0.108,0.025
AC020980.1,0,0
AC020983.1,0.134,0
AC021006.1,0,0
AC021006.2,0,0
AC021016.1,3.949,3.454
AC021016.2,0.916,1.695
AC021028.1,6.336,6.534
AC021035.1,0,0
AC021037.1,0.445,0.686
AC021052.1,0,0
AC021055.1,0,0
AC021066.1,0,0
AC021066.2,0,0
AC021066.3,0,0
AC021072.1,0,0
AC021074.1,1.151,1.916
AC021074.2,0,0
AC021074.3,0,0
AC021078.1,3.934,4.758
AC021086.1,0.187,0.249
AC021087.1,0.977,1.161
AC021087.2,0.969,1.512
AC021087.3,0.025,0.304
AC021087.4,0,0
AC021087.5,0.875,1.103
AC021088.1,0,0
AC021092.1,0.499,0.574
AC021097.1,0.508,0.352
AC021106.1,16.069,15.991
AC021106.2,0,0
AC021106.3,0,0
AC021127.1,0,0.038
AC021134.1,0,0
AC021134.2,0,0
AC021146.1,0,0
AC021146.10,0,0
AC021146.11,0,0
AC021146.12,0,0
AC021146.2,0,0
AC021146.3,0,0
AC021146.4,0,0
AC021146.5,0,0
AC021146.6,0,0
AC021146.7,0,0
AC021146.8,0,0
AC021146.9,0,0
AC021148.1,0.485,0.408
AC021148.3,0,0
AC021151.1,0,0
AC021171.1,0,0
AC021171.2,0,0
AC021180.1,0,0
AC021188.1,0,0
AC021192.2,0,0
AC021193.1,0,0
AC021205.1,0,0
AC021205.2,0,0
AC021205.3,0.128,0.095
AC021218.1,0.086,0.053
AC021220.1,0,0
AC021220.2,0,0
AC021231.1,0,0
AC021231.2,0.2,0.277
AC021231.3,0,0
AC021236.1,0.043,0
AC021237.1,0,0
AC021242.1,0,0
AC021242.2,0,0
AC021242.3,0.317,0.538
AC021269.1,0,0
AC021269.2,0,0
AC021269.3,0,0
AC021321.1,0.524,0.303
AC021321.2,0.308,0.285
AC021351.1,0,0
AC021355.1,0,0
AC021382.1,0,0
AC021393.1,0,0
AC021422.2,0,0.142
AC021443.3,0,0.319
AC021451.1,0,0
AC021451.2,0,0
AC021451.3,0,0
AC021483.1,0,0.125
AC021483.2,0,0
AC021491.1,0,0
AC021491.2,0,0
AC021491.3,0,0
AC021491.4,0.028,0
AC021504.1,0,0
AC021506.1,0,0
AC021506.2,0,0
AC021517.1,0,0
AC021517.2,0,0
AC021534.1,0,0
AC021546.1,0,0
AC021549.2,0,0
AC021573.1,0,0
AC021594.1,0,0
AC021594.2,0.277,0.511
AC021613.1,0,0
AC021613.2,0,0
AC021613.3,0,0
AC021646.2,0,0
AC021654.1,0,0
AC021660.1,0,0
AC021660.2,0.188,0
AC021660.3,0,0.114
AC021660.4,1.187,0.499
AC021678.1,0,0.072
AC021678.2,2.546,2.278
AC021678.3,0,0
AC021683.1,0,0
AC021683.2,0,0
AC021683.3,0,0
AC021683.4,0,0
AC021683.5,0,0
AC021683.6,0,0
AC021698.1,0,0
AC021701.1,0,0.026
AC021713.1,0,0
AC021723.1,0,0.262
AC021723.2,0,0
AC021733.2,0,0
AC021733.3,0,0.271
AC021733.4,0,0
AC021736.1,0,0
AC021739.1,0,0
AC021739.2,0.076,0
AC021739.3,0,0
AC021739.4,0,0
AC021739.5,0,0
AC021744.1,0.531,0.245
AC021749.1,0,0
AC021752.1,0.054,0.05
AC021753.1,0,0
AC021755.1,0,0
AC021755.2,0.169,0.156
AC021755.3,0,0
AC021760.1,0,0
AC021766.1,0,0
AC021785.1,0,0
AC021818.1,0,0
AC021818.2,0,0
AC021820.1,0,0
AC021851.1,1.045,0.93
AC021851.2,0,0
AC021860.1,0,0
AC021876.1,0,0
AC021887.1,0,0
AC021915.1,0,0
AC021915.2,0,0
AC021945.1,1.59,1.756
AC021979.1,0,0
AC021979.2,0,0
AC021979.3,0,0
AC022001.1,0.272,0
AC022001.2,0,0
AC022001.3,0,0
AC022007.1,0.045,0.042
AC022017.1,0,0
AC022018.1,0.605,0.559
AC022021.1,0,0
AC022022.1,0,0
AC022022.2,0,0
AC022023.2,0,0
AC022028.1,0,0
AC022028.2,0,0
AC022031.1,0,0
AC022031.2,0.055,0.051
AC022034.1,0,0.009
AC022034.2,0.305,0.423
AC022034.3,0,0
AC022034.4,0,0
AC022035.1,0.483,0.669
AC022039.1,0,0
AC022068.1,0,0
AC022069.1,0,0
AC022075.1,0.215,0.272
AC022079.1,0.242,0.112
AC022079.2,0.257,0.119
AC022080.2,0,0
AC022080.3,0,0
AC022081.1,0,0
AC022087.1,0,0
AC022092.1,30.358,28.602
AC022098.1,1.811,1.8
AC022098.2,0,0
AC022098.3,0,0
AC022098.4,0.621,0.574
AC022100.2,0.107,0.198
AC022101.1,0,0
AC022106.1,0,0
AC022106.2,0,0
AC022107.1,1.413,1.698
AC022113.2,0,0
AC022118.1,0,0
AC022120.1,0,0
AC022121.2,0.126,0
AC022126.1,0.077,0.095
AC022133.1,0,0
AC022133.2,0,0
AC022137.1,0,0
AC022137.2,0,0
AC022137.3,0.037,0
AC022137.4,0,0
AC022140.1,0,0
AC022140.2,0,0
AC022142.1,0,0
AC022144.1,0.369,0.597
AC022145.1,0,0
AC022145.2,0,0
AC022146.1,0,0
AC022146.2,0,0
AC022148.1,0,0
AC022148.2,0,0
AC022149.1,2.871,2.765
AC022149.2,0,0
AC022150.1,0,0
AC022150.2,0,0
AC022150.3,0,0
AC022150.4,0,0
AC022154.1,0.329,0.456
AC022164.1,0,0
AC022165.1,0,0
AC022166.1,0,0
AC022166.2,0,0
AC022167.1,1.069,1.153
AC022167.2,1.986,2.142
AC022167.3,0,0.158
AC022167.4,0.146,0.135
AC022168.1,0,0
AC022182.1,1.069,0.84
AC022182.2,0,0
AC022182.3,0.269,0.342
AC022188.1,0,0
AC022196.1,0,0
AC022201.1,0,0
AC022201.2,1.523,2.112
AC022202.1,0,0
AC022206.1,0,0
AC022210.1,1.746,2.039
AC022210.2,0,0
AC022211.2,1.829,1.785
AC022211.3,1.124,0.96
AC022211.4,1.457,2.695
AC022211.5,0.236,0.312
AC022215.1,0,0
AC022215.2,0,0
AC022217.2,0.099,0.274
AC022217.3,0,0
AC022217.4,0.064,0
AC022217.5,0,0
AC022239.1,0,0
AC022239.2,0,0
AC022254.1,0,0
AC022267.1,0,0
AC022272.1,0,0
AC022274.1,0,0
AC022276.1,0,0
AC022296.2,0,0
AC022296.3,0,0
AC022296.4,0,0
AC022306.1,0.14,0.043
AC022306.2,1.689,2.186
AC022306.3,0.795,0.245
AC022308.1,0,0
AC022325.1,0,0
AC022325.2,0,0
AC022335.1,0,0
AC022336.1,0,0
AC022336.2,0,0
AC022336.4,0,0.034
AC022360.1,0,0
AC022364.1,0.614,0.395
AC022364.2,0,0
AC022367.1,0,0
AC022382.1,0,0
AC022382.2,0.069,0.032
AC022384.1,0,0
AC022387.1,0,0
AC022387.2,0.562,0.611
AC022392.1,0,0
AC022395.1,0,0
AC022400.1,0,0.303
AC022400.10,0.267,0
AC022400.2,0,0
AC022400.3,0.057,0.106
AC022400.4,0,0
AC022400.5,0.686,0.669
AC022400.6,1.222,1.356
AC022400.7,0.013,0.035
AC022400.8,10.198,9.265
AC022400.9,0.101,0.187
AC022404.1,0,0.247
AC022405.1,0.282,0.261
AC022413.2,1.259,1.575
AC022413.3,0,0
AC022414.1,0,0
AC022415.2,0,0
AC022415.3,0,0
AC022417.1,1.007,1.551
AC022418.1,0,0
AC022424.1,0,0
AC022424.2,0,0
AC022431.1,0,0
AC022432.1,0,0
AC022433.1,0,0
AC022440.1,0,0
AC022441.1,0,0
AC022441.2,0,0
AC022441.3,0,0
AC022447.1,0,0
AC022447.2,0,0
AC022447.3,0,0
AC022447.4,0,0
AC022447.5,0,0
AC022447.6,0,0
AC022447.7,0,0
AC022463.1,0,0
AC022467.1,0,0
AC022467.2,0,0
AC022469.1,0,0
AC022469.2,0,0
AC022483.1,0,0
AC022486.1,0,0
AC022493.1,0,0
AC022493.2,0,0
AC022494.1,0,0.185
AC022497.1,0,0
AC022498.1,0,0
AC022498.2,0,0.059
AC022506.1,0,0
AC022506.2,0.25,0.264
AC022507.1,0,0
AC022509.1,0,0
AC022509.2,0,0
AC022509.3,0,0
AC022509.4,0.382,0.707
AC022509.5,0,0
AC022511.1,0,0
AC022513.1,0,0
AC022517.1,0,0.195
AC022523.1,0,0
AC022523.2,0,0
AC022523.3,0,0
AC022532.1,0.126,0.195
AC022535.1,0,0
AC022535.2,0,0
AC022535.3,0,0
AC022537.1,0,0
AC022538.1,0,0
AC022540.1,0,0
AC022558.1,0.746,0.805
AC022558.2,0,0
AC022558.3,0,0
AC022559.1,0,0
AC022596.1,0,0
AC022596.2,0,0
AC022601.1,0,0
AC022613.1,0,0
AC022613.2,0,0.046
AC022613.3,0,0
AC022616.1,0,0
AC022616.2,0,0
AC022616.3,0,0
AC022616.4,0,0
AC022616.5,0,0
AC022616.6,0,0
AC022616.7,0,0
AC022616.8,0,0
AC022616.9,0,0
AC022634.1,0,0
AC022634.2,0,0
AC022655.1,0,0
AC022655.2,0,0
AC022662.1,0,0
AC022679.1,0,0
AC022679.2,0,0
AC022681.1,0,0
AC022690.1,0,0
AC022690.2,0,0
AC022695.1,0,0
AC022695.2,0,0
AC022695.3,0,0
AC022706.1,0.104,0
AC022709.1,0,0
AC022710.1,0,0
AC022716.1,0,0
AC022726.1,0,1.302
AC022726.2,0,0
AC022730.1,0,0
AC022730.2,0,0
AC022730.3,0,0
AC022730.4,0.031,0
AC022733.1,0,0
AC022743.1,0,0
AC022748.1,0,0
AC022748.2,0,0
AC022748.3,0,0
AC022762.1,0.089,0
AC022762.2,0.215,0.349
AC022778.1,0,0
AC022784.1,0.163,0.104
AC022784.2,0,0
AC022784.3,0,0
AC022784.4,0,0
AC022784.5,0.101,0.094
AC022784.6,0,0
AC022790.1,0,0
AC022795.1,0.911,0
AC022809.1,0,0
AC022816.1,0,0
AC022819.1,0,0
AC022826.1,0,0
AC022826.2,0,0
AC022832.1,0,0
AC022832.2,0,0
AC022858.1,0,0
AC022861.1,0,0
AC022868.1,1.491,1.034
AC022868.2,0.07,0.13
AC022872.1,0,0
AC022874.1,0,0
AC022878.1,0,0
AC022880.1,0,0
AC022880.2,0,0
AC022882.1,0,0
AC022893.1,1.971,2.126
AC022893.2,0,0
AC022893.3,0,0
AC022898.1,0,0
AC022898.2,0,0
AC022903.1,0,0
AC022903.2,0,0
AC022905.1,0,0
AC022909.1,0,0
AC022915.1,0,0
AC022915.2,0,0
AC022915.3,0,0
AC022916.2,0.311,0.215
AC022916.3,0,0
AC022916.4,0,0
AC022916.5,0,0
AC022919.1,0,0.108
AC022929.1,0,0
AC022929.2,0,0
AC022960.1,0,0
AC022960.2,0.109,0.101
AC022960.3,0,0
AC022966.1,0,0
AC022966.2,0.165,0.229
AC022968.1,3.791,3.048
AC022973.2,0.127,0
AC022973.3,0,0
AC022973.4,0,0
AC022973.5,0,0
AC023024.1,0.084,0.078
AC023024.2,0,0
AC023034.1,0,0
AC023043.1,0,0
AC023043.2,0,0
AC023043.3,0,0
AC023043.4,0,0
AC023049.1,0,0
AC023050.1,0.194,0
AC023050.3,0,0
AC023050.4,0,0
AC023050.5,0,0
AC023051.1,0,0
AC023051.2,0,0
AC023055.1,0.316,0.319
AC023078.1,0,0
AC023078.2,0,0
AC023090.1,0,0
AC023090.2,0.138,0.096
AC023095.1,0,0
AC023115.1,0,0
AC023128.1,0.638,0.927
AC023136.1,0,0
AC023137.2,0,0
AC023141.1,0,0
AC023141.10,0,0
AC023141.11,0,0
AC023141.12,0,0
